"ID";"LibraryName";"AdmArea";"District";"Address";"NumberOfAccessPoints";"WiFiName";"CoverageArea";"FunctionFlag";"AccessFlag";"Password";"Latitude_WGS84";"Longitude_WGS84";"global_id";"geoData";
"11";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЦАО» Библиотека №1 имени Александра Сергеевича Грибоедова";"Центральный административный округ";"Мещанский район";"город Москва, Банный переулок, дом 4, строение 2";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.785675";"37.637811";"878954843";"{type=Point, coordinates=[37.637811, 55.785675]}";
"12";"Государственное бюджетное учреждение культуры города Москвы «Центральная универсальная научная библиотека имени Николая Алексеевича Некрасова»";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 58/25, строение 14";"11";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.767099";"37.678658";"880036127";"{type=Point, coordinates=[37.678658, 55.767099]}";
"13";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЦАО» Библиотека №9 имени Николая Васильевича Гоголя";"Центральный административный округ";"Пресненский район";"город Москва, Большая Грузинская улица, дом 39";"11";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.770740";"37.581334";"880036129";"{type=Point, coordinates=[37.581334, 55.77074]}";
"14";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЗАО» Детская библиотека №211 «Пионер»";"Западный административный округ";"район Дорогомилово";"город Москва, Большая Дорогомиловская улица, дом 7";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.746051";"37.556927";"880036131";"{type=Point, coordinates=[37.556927, 55.746051]}";
"15";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЦАО» Библиотека №1 имени Александра Сергеевича Грибоедова";"Центральный административный округ";"Мещанский район";"город Москва, Большая Переяславская улица, дом 15";"10";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.786759";"37.640048";"880036133";"{type=Point, coordinates=[37.640048, 55.786759]}";
"16";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЦАО» Библиотека №13 имени Николая Гавриловича Чернышевского";"Центральный административный округ";"район Замоскворечье";"город Москва, Большая Татарская улица, дом 32";"9";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.738328";"37.633113";"880036135";"{type=Point, coordinates=[37.633113, 55.738328]}";
"17";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ВАО» Центральная библиотека №70 имени Михаила Александровича Шолохова";"Восточный административный округ";"район Преображенское";"город Москва, Большая Черкизовская улица, дом 18/1";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.797918";"37.730401";"880036137";"{type=Point, coordinates=[37.730401, 55.797918]}";
"18";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЦАО» «Центральная библиотека №15 имени Василия Осиповича Ключевского";"Центральный административный округ";"Таганский район";"город Москва, Большой Факельный переулок, дом 3, строение 2";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.742630";"37.663692";"880036139";"{type=Point, coordinates=[37.663692, 55.74263]}";
"19";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система СВАО» Библиотека №61";"Северо-Восточный административный округ";"Бабушкинский район";"город Москва, Верхоянская улица, дом 6, корпус 1";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.858422";"37.669261";"880036039";"{type=Point, coordinates=[37.669261, 55.858422]}";
"20";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮВАО» Библиотека №122 имени Александра Степановича Грина";"Юго-Восточный административный округ";"район Лефортово";"город Москва, Волочаевская улица, дом 14А";"13";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.755986";"37.679143";"880036043";"{type=Point, coordinates=[37.679143, 55.755986]}";
"21";"Государственное бюджетное учреждение культуры города Москвы «Библиотека истории русской философии и культуры «Дом Алексея Федоровича Лосева»";"Центральный административный округ";"район Хамовники";"город Москва, Глазовский переулок, дом 4, строение 8";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.744353";"37.587694";"880036045";"{type=Point, coordinates=[37.587694, 55.744353]}";
"22";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮАО» Библиотека №163";"Южный административный округ";"Даниловский район";"город Москва, Даниловская набережная, дом 2, корпус 2";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.708374";"37.644180";"880036048";"{type=Point, coordinates=[37.64418, 55.708374]}";
"23";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система САО» Библиотека №29";"Северный административный округ";"Тимирязевский район";"город Москва, Дмитровское шоссе, дом 50, корпус 1";"8";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.845572";"37.569351";"880038340";"{type=Point, coordinates=[37.569351, 55.845572]}";
"24";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮАО» Детская Библиотека №158";"Южный административный округ";"район Чертаново Южное";"город Москва, Дорожная улица, дом 20, корпус 1";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.603303";"37.622073";"880036052";"{type=Point, coordinates=[37.622073, 55.603303]}";
"25";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЦАО» Центральная детская библиотека №14";"Центральный административный округ";"район Замоскворечье";"город Москва, Дубининская улица, дом 20, строение 1";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.726239";"37.636554";"880036055";"{type=Point, coordinates=[37.636554, 55.726239]}";
"26";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮВАО» Центральная библиотека №106";"Юго-Восточный административный округ";"Рязанский район";"город Москва, Зарайская улица, дом 56А";"9";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.727192";"37.774292";"880036057";"{type=Point, coordinates=[37.774292, 55.727192]}";
"27";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система СВАО» Библиотека №60 имени Осипа Эмильевича Мандельштама";"Северо-Восточный административный округ";"Останкинский район";"город Москва, Звёздный бульвар, дом 4";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.817835";"37.635503";"880036058";"{type=Point, coordinates=[37.635503, 55.817835]}";
"28";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЗАО» Детская библиотека №203";"Западный административный округ";"район Филёвский Парк";"город Москва, Кастанаевская улица, дом 7";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.738814";"37.496012";"880036060";"{type=Point, coordinates=[37.496012, 55.738814]}";
"29";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮАО» Центральная библиотека №136 имени Льва Николаевича Толстого";"Южный административный округ";"район Нагатино-Садовники";"город Москва, Каширское шоссе, дом 16";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.662187";"37.630499";"880036063";"{type=Point, coordinates=[37.630499, 55.662187]}";
"30";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮАО» Библиотека №162 имени Константина Михайловича Симонова";"Южный административный округ";"район Нагатинский Затон";"город Москва, Коломенская улица, дом 9, строение 5";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.680143";"37.704278";"880036064";"{type=Point, coordinates=[37.704278, 55.680143]}";
"31";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮАО» Центральная библиотека №136 имени Льва Николаевича Толстого";"Южный административный округ";"район Нагатино-Садовники";"город Москва, Коломенский проезд, дом 21";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.667736";"37.652445";"880036066";"{type=Point, coordinates=[37.652445, 55.667736]}";
"32";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система САО» Центральная детская библиотека №46 имени Ивана Захаровича Сурикова";"Северный административный округ";"район Коптево";"город Москва, Коптевская улица, дом 26, корпус 6";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.835341";"37.523097";"880036068";"{type=Point, coordinates=[37.523097, 55.835341]}";
"33";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮВАО» Библиотека №130";"Юго-Восточный административный округ";"район Люблино";"город Москва, Краснодарская улица, дом 20/1";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.677209";"37.750469";"880036070";"{type=Point, coordinates=[37.750469, 55.677209]}";
"34";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЗАО» Детская библиотека №206 имени Ивана Егоровича Забелина";"Западный административный округ";"район Фили-Давыдково";"город Москва, Кременчугская улица, дом 6, корпус 1";"9";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.723795";"37.460241";"880036072";"{type=Point, coordinates=[37.460241, 55.723795]}";
"35";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЗАО» Библиотека №209 имени Алексея Николаевича Толстого";"Западный административный округ";"район Дорогомилово";"город Москва, Кутузовский проспект, дом 24";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.744526";"37.545267";"880036074";"{type=Point, coordinates=[37.545267, 55.744526]}";
"36";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮАО» Библиотека №166 имени 1 Мая";"Южный административный округ";"Донской район";"город Москва, Ленинский проспект, дом 37А";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.708587";"37.586670";"880036077";"{type=Point, coordinates=[37.58667, 55.708587]}";
"37";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЦАО» Библиотека №18 имени Василия Андреевича Жуковского";"Центральный административный округ";"Басманный район";"город Москва, Лялин переулок, дом 24-26, строение 2";"8";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.756812";"37.653164";"880036079";"{type=Point, coordinates=[37.653164, 55.756812]}";
"38";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮАО» Библиотека №151";"Южный административный округ";"район Чертаново Северное";"город Москва, микрорайон Северное Чертаново, дом 2, корпус 207";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.639329";"37.601034";"880038346";"{type=Point, coordinates=[37.601034, 55.639329]}";
"39";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система САО» Центральная детская библиотека №46 имени Ивана Захаровича Сурикова";"Северный административный округ";"район Коптево";"город Москва, Михалковская улица, дом 15";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.839537";"37.526304";"880036083";"{type=Point, coordinates=[37.526304, 55.839537]}";
"40";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЗАО» Библиотека №216";"Западный административный округ";"район Раменки";"город Москва, Мичуринский проспект, дом 54А";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.693906";"37.490578";"880038347";"{type=Point, coordinates=[37.490578, 55.693906]}";
"41";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЗАО» Библиотека №218";"Западный административный округ";"район Очаково-Матвеевское";"город Москва, Нежинская улица, дом 13";"11";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.706431";"37.470976";"880036087";"{type=Point, coordinates=[37.470976, 55.706431]}";
"42";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮВАО» Библиотека №116";"Юго-Восточный административный округ";"Нижегородский район";"город Москва, Нижегородская улица, дом 70, корпус 1";"8";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.733452";"37.709147";"880036089";"{type=Point, coordinates=[37.709147, 55.733452]}";
"43";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЦАО» Библиотека №5 имени Максимилиана Александровича Волошина";"Центральный административный округ";"район Хамовники";"город Москва, Новодевичий проезд, дом 10";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.729873";"37.557520";"880036091";"{type=Point, coordinates=[37.55752, 55.729873]}";
"44";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЗАО» Библиотека №213 имени Леси Украинки";"Западный административный округ";"район Филёвский Парк";"город Москва, Новозаводская улица, дом 2, корпус 5";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.747338";"37.515757";"880036040";"{type=Point, coordinates=[37.515757, 55.747338]}";
"45";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система СВАО» Библиотека №50";"Северо-Восточный административный округ";"район Марьина Роща";"город Москва, Октябрьская улица, дом 103, корпус 1";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.798546";"37.610889";"880036042";"{type=Point, coordinates=[37.610889, 55.798546]}";
"46";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система САО» Библиотека №44 имени Владимира Галактионовича Короленко";"Северный административный округ";"Головинский район";"город Москва, Онежская улица, дом 17, корпус 4";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.851298";"37.517231";"880036044";"{type=Point, coordinates=[37.517231, 55.851298]}";
"47";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮАО» Библиотека №144";"Южный административный округ";"район Зябликово";"город Москва, Ореховый бульвар, дом 37, корпус 2А";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.615273";"37.737785";"880036047";"{type=Point, coordinates=[37.737785, 55.615273]}";
"48";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система СЗАО» Библиотека №230";"Северо-Западный административный округ";"район Южное Тушино";"город Москва, Парусный проезд, дом 15";"10";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.846310";"37.446848";"880036049";"{type=Point, coordinates=[37.446848, 55.84631]}";
"49";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система СВАО» Библиотека №55";"Северо-Восточный административный округ";"район Ростокино";"город Москва, проспект Мира, дом 198, корпус 2";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.837429";"37.662264";"880036051";"{type=Point, coordinates=[37.662264, 55.837429]}";
"50";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЦАО» Библиотека №1 имени Александра Сергеевича Грибоедова";"Центральный административный округ";"Мещанский район";"город Москва, проспект Мира, дом 68";"9";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.787186";"37.635416";"880036054";"{type=Point, coordinates=[37.635416, 55.787186]}";
"51";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮЗАО» Библиотека №180";"Юго-Западный административный округ";"район Коньково";"город Москва, Профсоюзная улица, дом 92";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.649108";"37.528433";"880036056";"{type=Point, coordinates=[37.528433, 55.649108]}";
"52";"Государственное бюджетное учреждение культуры города москвы «Центральная городская детская библиотека имени Аркадия Петровича Гайдара»";"Центральный административный округ";"район Хамовники";"город Москва, Ростовская набережная, дом 5";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.742189";"37.574992";"880036059";"{type=Point, coordinates=[37.574992, 55.742189]}";
"53";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮВАО» Библиотека №111";"Юго-Восточный административный округ";"район Выхино-Жулебино";"город Москва, Рязанский проспект, дом 95, корпус 2";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.715297";"37.810072";"880036061";"{type=Point, coordinates=[37.810072, 55.715297]}";
"54";"Государственное бюджетное учреждение культуры города Москвы «Центральная городская молодежная библиотека имени Михаила Аркадьевича Светлова»";"Центральный административный округ";"Пресненский район";"город Москва, Садовая-Кудринская улица, дом 23, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.765614";"37.589706";"880036062";"{type=Point, coordinates=[37.589706, 55.765614]}";
"55";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮВАО» Библиотека №113";"Юго-Восточный административный округ";"район Текстильщики";"город Москва, Саратовская улица, дом 1, корпус 2";"11";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.713694";"37.730616";"880036106";"{type=Point, coordinates=[37.730616, 55.713694]}";
"56";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮАО» Детская библиотека №141";"Южный административный округ";"район Царицыно";"город Москва, Севанская улица, дом 13, корпус 1";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.623036";"37.654583";"880036107";"{type=Point, coordinates=[37.654583, 55.623036]}";
"57";"Государственное бюджетное учреждение культуры города Москвы «Библиотека читальня имени Александра Сергеевича Пушкина»";"Центральный административный округ";"Басманный район";"город Москва, Спартаковская улица, дом 9, строение 3";"9";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.772036";"37.671956";"880036109";"{type=Point, coordinates=[37.671956, 55.772036]}";
"58";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ВАО» Библиотека №79 имени Бориса Андреевича Лавренева";"Восточный административный округ";"район Восточное Измайлово";"город Москва, Средняя Первомайская улица, дом 38/7";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.794730";"37.811869";"880036111";"{type=Point, coordinates=[37.811869, 55.79473]}";
"59";"Государственное бюджетное учреждение культуры города Москвы «Библиотека искусств имени Алексея Петровича Боголюбова»";"Центральный административный округ";"Тверской район";"город Москва, Сущёвская улица, дом 14";"21";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.781362";"37.602436";"880036114";"{type=Point, coordinates=[37.602436, 55.781362]}";
"60";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система САО» Библиотека №23 имени Максима Горького";"Северный административный округ";"Тимирязевский район";"город Москва, Тимирязевская улица, дом 17, корпус 1";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.812408";"37.566728";"880036116";"{type=Point, coordinates=[37.566728, 55.812408]}";
"61";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ВАО» Детская библиотека №103";"Восточный административный округ";"район Соколиная Гора";"город Москва, Ткацкая улица, дом 28/14";"8";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.786298";"37.733976";"880036118";"{type=Point, coordinates=[37.733976, 55.786298]}";
"62";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЦАО» Библиотека №12 имени Ивана Алексеевича Бунина";"Центральный административный округ";"Пресненский район";"город Москва, улица 1905 Года, дом 3";"9";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.758316";"37.557843";"880036119";"{type=Point, coordinates=[37.557843, 55.758316]}";
"63";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система САО» Библиотека №32";"Северный административный округ";"район Аэропорт";"город Москва, улица 8 Марта, дом 15";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.804664";"37.550620";"880036122";"{type=Point, coordinates=[37.55062, 55.804664]}";
"64";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система САО» Библиотека №28";"Северный административный округ";"район Сокол";"город Москва, улица Алабяна, дом 12, корпус 4";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.799957";"37.501735";"880036124";"{type=Point, coordinates=[37.501735, 55.799957]}";
"65";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЗАО» Библиотека №199 имени Эдуарда Георгиевича Багрицкого";"Западный административный округ";"Можайский район";"город Москва, улица Багрицкого, дом 51";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.719445";"37.437748";"880036125";"{type=Point, coordinates=[37.437748, 55.719445]}";
"66";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ВАО» Библиотека №76 имени Михаила Юрьевича Лермонтова";"Восточный административный округ";"район Сокольники";"город Москва, улица Барболина, дом 6";"8";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.786516";"37.687848";"880036126";"{type=Point, coordinates=[37.687848, 55.786516]}";
"67";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЦАО» Центральная детская библиотека №14";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 4, строение 1";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.736437";"37.634003";"880036128";"{type=Point, coordinates=[37.634003, 55.736437]}";
"68";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система СЗАО» Библиотека №245";"Северо-Западный административный округ";"район Щукино";"город Москва, улица Берзарина, дом 6, корпус 1";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.788323";"37.493192";"880036130";"{type=Point, coordinates=[37.493192, 55.788323]}";
"69";"Государственное бюджетное учреждение культуры города Москвы «Центральная Городская Деловая Библиотека»";"Северо-Восточный административный округ";"Алексеевский район";"город Москва, улица Бориса Галушкина, дом 19, корпус 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.822503";"37.661293";"880036132";"{type=Point, coordinates=[37.661293, 55.822503]}";
"70";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮЗАО» Библиотека №179";"Юго-Западный административный округ";"Ломоносовский район";"город Москва, улица Вавилова, дом 86";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.676940";"37.541090";"880036134";"{type=Point, coordinates=[37.54109, 55.67694]}";
"71";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система СЗАО» Библиотека №234";"Северо-Западный административный округ";"район Покровское-Стрешнево";"город Москва, улица Габричевского, дом 8";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.815767";"37.459110";"880036136";"{type=Point, coordinates=[37.45911, 55.815767]}";
"72";"Государственное бюджетное учреждение культуры города Москвы «Централизованная библиотечная система ЮАО» Библиотека №146";"Южный административный округ";"район Орехово-Борисово Северное";"город Москва, улица Генерала Белова, дом 29, корпус 3";"8";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.614953";"37.722657";"880036138";"{type=Point, coordinates=[37.722657, 55.614953]}";
