"ID";"CulturalCenterName";"AdmArea";"District";"Address";"NumberOfAccessPoints";"WiFiName";"CoverageArea";"FunctionFlag";"AccessFlag";"Password";"Latitude_WGS84";"Longitude_WGS84";"global_id";"geoData";
"27";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Планета»";"Западный административный округ";"район Очаково-Матвеевское";"город Москва, Озёрная улица, дом 23, корпус 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.676402";"37.454501";"879812739";"{type=Point, coordinates=[37.454501, 55.676402]}";
"28";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Оптимист»";"Западный административный округ";"район Тропарёво-Никулино";"город Москва, проспект Вернадского, дом 89, корпус 4";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.664984";"37.500127";"879812741";"{type=Point, coordinates=[37.500127, 55.664984]}";
"29";"Государственное бюджетное учреждение культуры города Москвы Творческий центр «Москворечье»";"Южный административный округ";"район Москворечье-Сабурово";"город Москва, Каширское шоссе, дом 52";"54";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.645964";"37.668022";"879812742";"{type=Point, coordinates=[37.668022, 55.645964]}";
"30";"Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Пересвет»";"Новомосковский административный округ";"поселение Рязановское";"город Москва, поселение Рязановское, посёлок Знамя Октября, дом 3";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.473643";"37.538260";"879894875";"{type=Point, coordinates=[37.53826, 55.473643]}";
"31";"Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Пересвет»";"Новомосковский административный округ";"поселение Рязановское";"город Москва, поселение Рязановское, посёлок Знамя Октября, дом 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.473276";"37.538970";"879812744";"{type=Point, coordinates=[37.53897, 55.473276]}";
"32";"Государственное бюджетное учреждение культуры города Москвы «Дворец культуры «Содружество»";"Северо-Восточный административный округ";"Алексеевский район";"город Москва, Рижский проезд, дом 9";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.815585";"37.661392";"879812745";"{type=Point, coordinates=[37.661392, 55.815585]}";
"33";"Государственное бюджетное учреждение культуры города Москвы «Дворец культуры имени Ивана Михайловича Астахова»";"Юго-Восточный административный округ";"район Люблино";"город Москва, Люблинская улица, дом 149";"10";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.663212";"37.742762";"879812746";"{type=Point, coordinates=[37.742762, 55.663212]}";
"34";"Государственное бюджетное учреждение культуры города Москвы «Дворец культуры имени Ивана Михайловича Астахова»";"Юго-Восточный административный округ";"район Марьино";"город Москва, Новочеркасский бульвар, дом 29";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.649185";"37.73646";"879812749";"{type=Point, coordinates=[37.73646, 55.649185]}";
"35";"Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Берендей»";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"город Москва, улица Народного Ополчения, дом 12, корпус 3";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.772289";"37.478432";"879812750";"{type=Point, coordinates=[37.478432, 55.772289]}";
"36";"Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Гайдаровец»";"Центральный административный округ";"район Арбат";"город Москва, Староконюшенный переулок, дом 37";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.748939";"37.594405";"879894923";"{type=Point, coordinates=[37.594405, 55.748939]}";
"37";"Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Темп»";"Северо-Восточный административный округ";"Останкинский район";"город Москва, улица Академика Королёва, дом 8, корпус 1";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.822599";"37.624256";"879894937";"{type=Point, coordinates=[37.624256, 55.822599]}";
"38";"Государственное бюджетное учреждение культуры города Москвы «Клуб «Атом»";"Северо-Западный административный округ";"район Щукино";"город Москва, улица Маршала Бирюзова, дом 12";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.793303";"37.494512";"879894950";"{type=Point, coordinates=[37.494512, 55.793303]}";
"39";"Государственное бюджетное учреждение культуры города Москвы «Клуб «Молодежный»";"Северо-Восточный административный округ";"район Свиблово";"город Москва, Тенистый проезд, дом 14";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.862793";"37.643058";"879894961";"{type=Point, coordinates=[37.643058, 55.862793]}";
"40";"Государственное бюджетное учреждение культуры города Москвы «Культурный центр «Митино»";"Северо-Западный административный округ";"район Митино";"город Москва, Митинская улица, дом 17, корпус 4";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.841781";"37.366502";"879812755";"{type=Point, coordinates=[37.366502, 55.841781]}";
"41";"Государственное бюджетное учреждение культуры города Москвы Творческий центр «Москворечье»";"Южный административный округ";"район Нагатино-Садовники";"город Москва, Каширское шоссе, дом 16";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.662187";"37.630499";"879812757";"{type=Point, coordinates=[37.630499, 55.662187]}";
"42";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Бригантина»";"Западный административный округ";"район Филёвский Парк";"город Москва, улица Василисы Кожиной, дом 24, корпус 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.734070";"37.490883";"879812760";"{type=Point, coordinates=[37.490883, 55.73407]}";
"43";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Бригантина»";"Западный административный округ";"район Филёвский Парк";"город Москва, Кастанаевская улица, дом 9, корпус 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.738029";"37.494359";"879894997";"{type=Point, coordinates=[37.494359, 55.738029]}";
"44";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Кунцево»";"Западный административный округ";"Можайский район";"город Москва, улица Вересаева, дом 17";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.716691";"37.446506";"879895007";"{type=Point, coordinates=[37.446506, 55.716691]}";
"45";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Кунцево»";"Западный административный округ";"Можайский район";"город Москва, Можайское шоссе, дом 4, корпус 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.723146";"37.443721";"879895011";"{type=Point, coordinates=[37.443721, 55.723146]}";
"46";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «НовоПеределкино»";"Западный административный округ";"район Ново-Переделкино";"город Москва, Боровское шоссе, дом 35, корпус 1";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.640609";"37.360969";"879812770";"{type=Point, coordinates=[37.360969, 55.640609]}";
"47";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «НовоПеределкино»";"Западный административный округ";"район Ново-Переделкино";"город Москва, Лукинская улица, дом 1, корпус 1";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.646447";"37.343901";"879812772";"{type=Point, coordinates=[37.343901, 55.646447]}";
"48";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «НовоПеределкино»";"Западный административный округ";"район Ново-Переделкино";"город Москва, Лукинская улица, дом 9, корпус 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.643023";"37.338259";"879894795";"{type=Point, coordinates=[37.338259, 55.643023]}";
"49";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «НовоПеределкино»";"Западный административный округ";"район Ново-Переделкино";"город Москва, Приречная улица, дом 5";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.643795";"37.371299";"879894806";"{type=Point, coordinates=[37.371299, 55.643795]}";
"50";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «НовоПеределкино»";"Западный административный округ";"район Ново-Переделкино";"город Москва, Чоботовская улица, дом 17, корпус 1";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.645182";"37.347970";"879812761";"{type=Point, coordinates=[37.34797, 55.645182]}";
"51";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «НовоПеределкино»";"Западный административный округ";"район Ново-Переделкино";"город Москва, Чоботовский проезд, дом 7";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.653167";"37.353081";"879812764";"{type=Point, coordinates=[37.353081, 55.653167]}";
"52";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Орехово»";"Южный административный округ";"район Орехово-Борисово Северное";"город Москва, Домодедовская улица, дом 22, корпус 1";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.611668";"37.706910";"879812767";"{type=Point, coordinates=[37.70691, 55.611668]}";
"53";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Планета»";"Западный административный округ";"район Очаково-Матвеевское";"город Москва, Веерная улица, дом 3, корпус 6";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.705762";"37.476986";"879894846";"{type=Point, coordinates=[37.476986, 55.705762]}";
"54";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Планета»";"Западный административный округ";"район Очаково-Матвеевское";"город Москва, Матвеевская улица, дом 18, корпус 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.702652";"37.467958";"879894856";"{type=Point, coordinates=[37.467958, 55.702652]}";
"55";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Планета»";"Западный административный округ";"район Очаково-Матвеевское";"город Москва, улица Наташи Ковшовой, дом 5/2";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.684082";"37.454923";"879812773";"{type=Point, coordinates=[37.454923, 55.684082]}";
"56";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Планета»";"Западный административный округ";"район Очаково-Матвеевское";"город Москва, Озёрная улица, дом 11";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.681123";"37.459864";"879812774";"{type=Point, coordinates=[37.459864, 55.681123]}";
"57";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Планета»";"Западный административный округ";"район Очаково-Матвеевское";"город Москва, Озёрная улица, дом 4/9";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.683036";"37.460574";"879812775";"{type=Point, coordinates=[37.460574, 55.683036]}";
"58";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Планета»";"Западный административный округ";"район Очаково-Матвеевское";"город Москва, Очаковское шоссе, дом 21, корпус 2";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.690583";"37.451815";"879812776";"{type=Point, coordinates=[37.451815, 55.690583]}";
"59";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Спутник»";"Юго-Восточный административный округ";"Нижегородский район";"город Москва, Орехово-Зуевский проезд, дом 10";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.731212";"37.749328";"879812777";"{type=Point, coordinates=[37.749328, 55.731212]}";
"60";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Товарищ»";"Северо-Восточный административный округ";"район Отрадное";"город Москва, Алтуфьевское шоссе, дом 22";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.859266";"37.585583";"879894903";"{type=Point, coordinates=[37.585583, 55.859266]}";
"61";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Товарищ»";"Северо-Восточный административный округ";"район Бибирево";"город Москва, улица Лескова, дом 30, корпус 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.891683";"37.617411";"879812780";"{type=Point, coordinates=[37.617411, 55.891683]}";
"62";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Товарищ»";"Северо-Восточный административный округ";"район Ростокино";"город Москва, проспект Мира, дом 163, корпус 1";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.836388";"37.653334";"879894920";"{type=Point, coordinates=[37.653334, 55.836388]}";
"63";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Товарищ»";"Северо-Восточный административный округ";"Ярославский район";"город Москва, Ярославское шоссе, дом 18";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.855042";"37.685467";"879894933";"{type=Point, coordinates=[37.685467, 55.855042]}";
"64";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «ФилиДавыдково»";"Западный административный округ";"район Фили-Давыдково";"город Москва, Большая Филёвская улица, дом 59, корпус 1";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.738292";"37.464904";"879894943";"{type=Point, coordinates=[37.464904, 55.738292]}";
"65";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «ФилиДавыдково»";"Западный административный округ";"район Фили-Давыдково";"город Москва, Кременчугская улица, дом 7, корпус 3";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.721833";"37.465721";"879812785";"{type=Point, coordinates=[37.465721, 55.721833]}";
"66";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Оптимист»";"Западный административный округ";"район Тропарёво-Никулино";"город Москва, улица 26-ти Бакинских Комиссаров, дом 12, корпус 2";"7";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.660424";"37.488601";"879812786";"{type=Point, coordinates=[37.488601, 55.660424]}";
"67";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Оптимист»";"Западный административный округ";"район Тропарёво-Никулино";"город Москва, улица Академика Анохина, дом 62";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.648428";"37.468479";"879894977";"{type=Point, coordinates=[37.468479, 55.648428]}";
"68";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Оптимист»";"Западный административный округ";"район Тропарёво-Никулино";"город Москва, Ленинский проспект, дом 150";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.654523";"37.491296";"879894987";"{type=Point, coordinates=[37.491296, 55.654523]}";
"69";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Оптимист»";"Западный административный округ";"район Раменки";"город Москва, улица Лобачевского, дом 100, корпус 3";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.685274";"37.483032";"879812789";"{type=Point, coordinates=[37.483032, 55.685274]}";
"70";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Оптимист»";"Западный административный округ";"район Раменки";"город Москва, улица Лобачевского, дом 100";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.684772";"37.481702";"879812791";"{type=Point, coordinates=[37.481702, 55.684772]}";
"71";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Оптимист»";"Западный административный округ";"район Раменки";"город Москва, Мичуринский проспект, дом 54, корпус 3";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.694378";"37.487784";"879812792";"{type=Point, coordinates=[37.487784, 55.694378]}";
"72";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Оптимист»";"Западный административный округ";"район Раменки";"город Москва, 3-й Сетуньский проезд, дом 13";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.731871";"37.533526";"879894779";"{type=Point, coordinates=[37.533526, 55.731871]}";
"73";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Оптимист»";"Западный административный округ";"район Проспект Вернадского";"город Москва, улица Удальцова, дом 17, корпус 1";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.673229";"37.513451";"879894797";"{type=Point, coordinates=[37.513451, 55.673229]}";
"74";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Оптимист»";"Западный административный округ";"район Проспект Вернадского";"город Москва, улица Удальцова, дом 69";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.679225";"37.499067";"879812796";"{type=Point, coordinates=[37.499067, 55.679225]}";
"75";"Государственное бюджетное учреждение культуры города Москвы «Московский продюсерский центр»";"Южный административный округ";"район Чертаново Северное";"город Москва, микрорайон Северное Чертаново, дом 5, корпус Г";"10";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.637992";"37.590991";"879894817";"{type=Point, coordinates=[37.590991, 55.637992]}";
"76";"Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Кленово»";"Троицкий административный округ";"поселение Кленовское";"город Москва, поселение Кленовское, село Кленово, Центральная улица, дом 1";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.323786";"37.344654";"879812801";"{type=Point, coordinates=[37.344654, 55.323786]}";
"77";"Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Десна»";"Новомосковский административный округ";"поселение Рязановское";"город Москва, поселение Рязановское, посёлок Ерино, Высокая улица, дом 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.449342";"37.521066";"879894836";"{type=Point, coordinates=[37.521066, 55.449342]}";
"78";"Государственное бюджетное учреждение культуры города Москвы Центр культуры «Гармония»";"Северный административный округ";"район Сокол";"город Москва, 2-я Песчаная улица, дом 3";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.796420";"37.516251";"879812806";"{type=Point, coordinates=[37.516251, 55.79642]}";
"79";"Государственное бюджетное учреждение культуры города Москвы «Культурный центр «Доброволец»";"Зеленоградский административный округ";"район Силино";"город Москва, город Зеленоград, корпус 1209";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.994219";"37.195310";"879812808";"{type=Point, coordinates=[37.19531, 55.994219]}";
"80";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Кунцево»";"Западный административный округ";"Можайский район";"город Москва, Барвихинская улица, дом 4, корпус 2";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.716149";"37.391107";"879894863";"{type=Point, coordinates=[37.391107, 55.716149]}";
"81";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Кунцево»";"Западный административный округ";"район Крылатское";"город Москва, Рублёвское шоссе, дом 34, корпус 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.748934";"37.419377";"879812813";"{type=Point, coordinates=[37.419377, 55.748934]}";
"82";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Спутник»";"Юго-Восточный административный округ";"район Люблино";"город Москва, улица Головачёва, дом 3, корпус 2";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.675209";"37.805509";"879812815";"{type=Point, coordinates=[37.805509, 55.675209]}";
"83";"Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «ФилиДавыдково»";"Западный административный округ";"район Фили-Давыдково";"город Москва, Кременчугская улица, дом 44, корпус 2";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.713157";"37.457609";"879894883";"{type=Point, coordinates=[37.457609, 55.713157]}";
