"ID";"global_id";"Name";"AdmArea";"District";"ParkName";"WiFiName";"CoverageArea";"FunctionFlag";"AccessFlag";"Password";"Longitude_WGS84";"Latitude_WGS84";"geoData";
"243";"46808942";"Точка доступа №243";"Северо-Восточный административный округ";"район Лианозово";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.572949";"55.900020";"{type=Point, coordinates=[37.572949, 55.90002]}";
"244";"46808943";"Точка доступа №244";"Северо-Восточный административный округ";"район Лианозово";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.573277";"55.899793";"{type=Point, coordinates=[37.573277, 55.899793]}";
"245";"46808945";"Точка доступа №245";"Северо-Восточный административный округ";"район Лианозово";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.573358";"55.898596";"{type=Point, coordinates=[37.573358, 55.898596]}";
"246";"46808946";"Точка доступа №246";"Северо-Восточный административный округ";"район Лианозово";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.57308";"55.899632";"{type=Point, coordinates=[37.57308, 55.899632]}";
"247";"46808948";"Точка доступа №247";"Северо-Восточный административный округ";"район Лианозово";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.572782";"55.899535";"{type=Point, coordinates=[37.572782, 55.899535]}";
"248";"46808949";"Точка доступа №248";"Северо-Восточный административный округ";"район Лианозово";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.572044";"55.899525";"{type=Point, coordinates=[37.572044, 55.899525]}";
"249";"46808950";"Точка доступа №249";"Северо-Восточный административный округ";"район Лианозово";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.571898";"55.899202";"{type=Point, coordinates=[37.571898, 55.899202]}";
"250";"46808952";"Точка доступа №250";"Северо-Восточный административный округ";"район Лианозово";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.57151";"55.899484";"{type=Point, coordinates=[37.57151, 55.899484]}";
"251";"46808953";"Точка доступа №251";"Северо-Восточный административный округ";"район Лианозово";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.57086";"55.899425";"{type=Point, coordinates=[37.57086, 55.899425]}";
"252";"46808954";"Точка доступа №252";"Северо-Восточный административный округ";"район Лианозово";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.570838";"55.899022";"{type=Point, coordinates=[37.570838, 55.899022]}";
"253";"46808956";"Точка доступа №253";"Северо-Восточный административный округ";"район Лианозово";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.570194";"55.899348";"{type=Point, coordinates=[37.570194, 55.899348]}";
"254";"46808957";"Точка доступа №254";"Северо-Восточный административный округ";"район Лианозово";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.570651";"55.899281";"{type=Point, coordinates=[37.570651, 55.899281]}";
"255";"46808958";"Точка доступа №255";"Северо-Восточный административный округ";"район Лианозово";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.570562";"55.899183";"{type=Point, coordinates=[37.570562, 55.899183]}";
"256";"46808960";"Точка доступа №256";"Центральный административный округ";"Тверской район";"Государственное автономное учреждение культуры города Москвы «Московский городской сад «Эрмитаж»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.60927";"55.77025";"{type=Point, coordinates=[37.60927, 55.77025]}";
"257";"46808961";"Точка доступа №257";"Центральный административный округ";"Тверской район";"Государственное автономное учреждение культуры города Москвы «Московский городской сад «Эрмитаж»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.608279";"55.769665";"{type=Point, coordinates=[37.608279, 55.769665]}";
"258";"46808962";"Точка доступа №258";"Центральный административный округ";"Тверской район";"Государственное автономное учреждение культуры города Москвы «Московский городской сад «Эрмитаж»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.607674";"55.770004";"{type=Point, coordinates=[37.607674, 55.770004]}";
"259";"46808964";"Точка доступа №259";"Центральный административный округ";"Тверской район";"Государственное автономное учреждение культуры города Москвы «Московский городской сад «Эрмитаж»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.607455";"55.770649";"{type=Point, coordinates=[37.607455, 55.770649]}";
"260";"46808965";"Точка доступа №260";"Центральный административный округ";"Тверской район";"Государственное автономное учреждение культуры города Москвы «Московский городской сад «Эрмитаж»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.60719";"55.771009";"{type=Point, coordinates=[37.60719, 55.771009]}";
"261";"46808966";"Точка доступа №261";"Центральный административный округ";"Тверской район";"Государственное автономное учреждение культуры города Москвы «Московский городской сад «Эрмитаж»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.607661";"55.771482";"{type=Point, coordinates=[37.607661, 55.771482]}";
"262";"46808968";"Точка доступа №262";"Центральный административный округ";"Тверской район";"Государственное автономное учреждение культуры города Москвы «Московский городской сад «Эрмитаж»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.609817";"55.771315";"{type=Point, coordinates=[37.609817, 55.771315]}";
"263";"46808969";"Точка доступа №263";"Центральный административный округ";"Тверской район";"Государственное автономное учреждение культуры города Москвы «Московский городской сад «Эрмитаж»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.610629";"55.770828";"{type=Point, coordinates=[37.610629, 55.770828]}";
"264";"46808970";"Точка доступа №264";"Центральный административный округ";"Тверской район";"Государственное автономное учреждение культуры города Москвы «Московский городской сад «Эрмитаж»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.611506";"55.770298";"{type=Point, coordinates=[37.611506, 55.770298]}";
"265";"46808972";"Точка доступа №265";"Северо-Восточный административный округ";"Лосиноостровский район";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Бабушкинский»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.681585";"55.866711";"{type=Point, coordinates=[37.681585, 55.866711]}";
"266";"46808973";"Точка доступа №266";"Северо-Восточный административный округ";"Лосиноостровский район";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Бабушкинский»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.682291";"55.866575";"{type=Point, coordinates=[37.682291, 55.866575]}";
"267";"46808974";"Точка доступа №267";"Северо-Восточный административный округ";"Лосиноостровский район";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Бабушкинский»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.682588";"55.867336";"{type=Point, coordinates=[37.682588, 55.867336]}";
"268";"46808976";"Точка доступа №268";"Северо-Восточный административный округ";"Лосиноостровский район";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Бабушкинский»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.683048";"55.867602";"{type=Point, coordinates=[37.683048, 55.867602]}";
"269";"46808977";"Точка доступа №269";"Северо-Восточный административный округ";"Лосиноостровский район";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Бабушкинский»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.684009";"55.868166";"{type=Point, coordinates=[37.684009, 55.868166]}";
"270";"46808978";"Точка доступа №270";"Северо-Восточный административный округ";"Лосиноостровский район";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Бабушкинский»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.683599";"55.868704";"{type=Point, coordinates=[37.683599, 55.868704]}";
"271";"46808980";"Точка доступа №271";"Северо-Восточный административный округ";"Лосиноостровский район";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Бабушкинский»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.684594";"55.868632";"{type=Point, coordinates=[37.684594, 55.868632]}";
"272";"46808981";"Точка доступа №272";"Северо-Восточный административный округ";"Лосиноостровский район";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Бабушкинский»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.684456";"55.868734";"{type=Point, coordinates=[37.684456, 55.868734]}";
"273";"46808983";"Точка доступа №273";"Центральный административный округ";"Пресненский район";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Красная Пресня»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.548572";"55.753730";"{type=Point, coordinates=[37.548572, 55.75373]}";
"274";"46808984";"Точка доступа №274";"Центральный административный округ";"Пресненский район";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Красная Пресня»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.548729";"55.754043";"{type=Point, coordinates=[37.548729, 55.754043]}";
"275";"46808985";"Точка доступа №275";"Центральный административный округ";"Пресненский район";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Красная Пресня»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.548964";"55.754419";"{type=Point, coordinates=[37.548964, 55.754419]}";
"344";"46809061";"Точка доступа №344";"Юго-Восточный административный округ";"район Кузьминки";"Государственное автономное учреждение культуры города Москвы «Государственный историко-архитектурный и природно-ландшафтный музей-заповедник «Кузьминки-Люблино», Парк «Кузьминки»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.767233";"55.696675";"{type=Point, coordinates=[37.767233, 55.696675]}";
"345";"46809066";"Точка доступа №345";"Юго-Восточный административный округ";"район Кузьминки";"Государственное автономное учреждение культуры города Москвы «Государственный историко-архитектурный и природно-ландшафтный музей-заповедник «Кузьминки-Люблино», Парк «Кузьминки»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.766936";"55.696969";"{type=Point, coordinates=[37.766936, 55.696969]}";
"346";"46809071";"Точка доступа №346";"Юго-Восточный административный округ";"район Кузьминки";"Государственное автономное учреждение культуры города Москвы «Государственный историко-архитектурный и природно-ландшафтный музей-заповедник «Кузьминки-Люблино», Парк «Кузьминки»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.766605";"55.697219";"{type=Point, coordinates=[37.766605, 55.697219]}";
"347";"46809074";"Точка доступа №347";"Юго-Восточный административный округ";"район Кузьминки";"Государственное автономное учреждение культуры города Москвы «Государственный историко-архитектурный и природно-ландшафтный музей-заповедник «Кузьминки-Люблино», Парк «Кузьминки»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.766141";"55.697508";"{type=Point, coordinates=[37.766141, 55.697508]}";
"348";"46809079";"Точка доступа №348";"Юго-Восточный административный округ";"район Кузьминки";"Государственное автономное учреждение культуры города Москвы «Государственный историко-архитектурный и природно-ландшафтный музей-заповедник «Кузьминки-Люблино», Парк «Кузьминки»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.765839";"55.697814";"{type=Point, coordinates=[37.765839, 55.697814]}";
"349";"46809083";"Точка доступа №349";"Юго-Восточный административный округ";"район Кузьминки";"Государственное автономное учреждение культуры города Москвы «Государственный историко-архитектурный и природно-ландшафтный музей-заповедник «Кузьминки-Люблино», Парк «Кузьминки»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.765525";"55.697981";"{type=Point, coordinates=[37.765525, 55.697981]}";
"350";"46809087";"Точка доступа №350";"Юго-Восточный административный округ";"район Кузьминки";"Государственное автономное учреждение культуры города Москвы «Государственный историко-архитектурный и природно-ландшафтный музей-заповедник «Кузьминки-Люблино», Парк «Кузьминки»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.766293";"55.694868";"{type=Point, coordinates=[37.766293, 55.694868]}";
"351";"46809093";"Точка доступа №351";"Юго-Восточный административный округ";"район Кузьминки";"Государственное автономное учреждение культуры города Москвы «Государственный историко-архитектурный и природно-ландшафтный музей-заповедник «Кузьминки-Люблино», Парк «Кузьминки»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.766696";"55.694455";"{type=Point, coordinates=[37.766696, 55.694455]}";
"352";"46809096";"Точка доступа №352";"Юго-Восточный административный округ";"район Кузьминки";"Государственное автономное учреждение культуры города Москвы «Государственный историко-архитектурный и природно-ландшафтный музей-заповедник «Кузьминки-Люблино», Парк «Кузьминки»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.7669";"55.694966";"{type=Point, coordinates=[37.7669, 55.694966]}";
"353";"46809102";"Точка доступа №353";"Юго-Восточный административный округ";"район Кузьминки";"Государственное автономное учреждение культуры города Москвы «Государственный историко-архитектурный и природно-ландшафтный музей-заповедник «Кузьминки-Люблино», Парк «Кузьминки»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.767054";"55.695176";"{type=Point, coordinates=[37.767054, 55.695176]}";
"354";"46809106";"Точка доступа №354";"Юго-Восточный административный округ";"район Кузьминки";"Государственное автономное учреждение культуры города Москвы «Государственный историко-архитектурный и природно-ландшафтный музей-заповедник «Кузьминки-Люблино», Парк «Кузьминки»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.767534";"55.695456";"{type=Point, coordinates=[37.767534, 55.695456]}";
"355";"46809110";"Точка доступа №355";"Юго-Восточный административный округ";"район Кузьминки";"Государственное автономное учреждение культуры города Москвы «Государственный историко-архитектурный и природно-ландшафтный музей-заповедник «Кузьминки-Люблино», Парк «Кузьминки»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.767436";"55.695291";"{type=Point, coordinates=[37.767436, 55.695291]}";
"356";"46809115";"Точка доступа №356";"Юго-Восточный административный округ";"район Кузьминки";"Государственное автономное учреждение культуры города Москвы «Государственный историко-архитектурный и природно-ландшафтный музей-заповедник «Кузьминки-Люблино», Парк «Кузьминки»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.7669";"55.695448";"{type=Point, coordinates=[37.7669, 55.695448]}";
"1";"46812528";"Точка доступа №1";"Центральный административный округ";"Басманный район";"Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э.Баумана»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.660678";"55.766413";"{type=Point, coordinates=[37.660678, 55.766413]}";
"2";"46812530";"Точка доступа №2";"Центральный административный округ";"Басманный район";"Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э.Баумана»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.660699";"55.766811";"{type=Point, coordinates=[37.660699, 55.766811]}";
"3";"46812531";"Точка доступа №3";"Центральный административный округ";"Басманный район";"Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э.Баумана»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.660101";"55.767398";"{type=Point, coordinates=[37.660101, 55.767398]}";
"4";"46812533";"Точка доступа №4";"Центральный административный округ";"Басманный район";"Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э.Баумана»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.659642";"55.767513";"{type=Point, coordinates=[37.659642, 55.767513]}";
"5";"46812534";"Точка доступа №5";"Центральный административный округ";"Басманный район";"Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э.Баумана»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.660257";"55.768231";"{type=Point, coordinates=[37.660257, 55.768231]}";
"6";"46812536";"Точка доступа №6";"Центральный административный округ";"Басманный район";"Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э.Баумана»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.659377";"55.768302";"{type=Point, coordinates=[37.659377, 55.768302]}";
"7";"46812537";"Точка доступа №7";"Центральный административный округ";"Басманный район";"Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э.Баумана»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.658706";"55.768227";"{type=Point, coordinates=[37.658706, 55.768227]}";
"8";"46812539";"Точка доступа №8";"Центральный административный округ";"Басманный район";"Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э.Баумана»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.658722";"55.767814";"{type=Point, coordinates=[37.658722, 55.767814]}";
"9";"46812541";"Точка доступа №9";"Центральный административный округ";"Басманный район";"Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э.Баумана»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.659186";"55.766444";"{type=Point, coordinates=[37.659186, 55.766444]}";
"10";"46812542";"Точка доступа №10";"Центральный административный округ";"Басманный район";"Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э.Баумана»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.659061";"55.766178";"{type=Point, coordinates=[37.659061, 55.766178]}";
"11";"46812543";"Точка доступа №11";"Центральный административный округ";"Басманный район";"Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э.Баумана»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.660005";"55.766057";"{type=Point, coordinates=[37.660005, 55.766057]}";
"168";"46812726";"Точка доступа №168";"Центральный административный округ";"Пресненский район";"Государственное автономное учреждение города Москвы «Московский государственный зоологический парк»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.580790";"55.763543";"{type=Point, coordinates=[37.58079, 55.763543]}";
"169";"46812727";"Точка доступа №169";"Центральный административный округ";"Пресненский район";"Государственное автономное учреждение города Москвы «Московский государственный зоологический парк»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.584110";"55.764204";"{type=Point, coordinates=[37.58411, 55.764204]}";
"170";"46812729";"Точка доступа №170";"Центральный административный округ";"Пресненский район";"Государственное автономное учреждение города Москвы «Московский государственный зоологический парк»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.576582";"55.764496";"{type=Point, coordinates=[37.576582, 55.764496]}";
"171";"46812730";"Точка доступа №171";"Центральный административный округ";"Пресненский район";"Государственное автономное учреждение города Москвы «Московский государственный зоологический парк»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.583150";"55.762395";"{type=Point, coordinates=[37.58315, 55.762395]}";
"172";"46812733";"Точка доступа №172";"Центральный административный округ";"Пресненский район";"Государственное автономное учреждение города Москвы «Московский государственный зоологический парк»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.582771";"55.761273";"{type=Point, coordinates=[37.582771, 55.761273]}";
"173";"46812734";"Точка доступа №173";"Центральный административный округ";"Пресненский район";"Государственное автономное учреждение города Москвы «Московский государственный зоологический парк»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.576635";"55.761202";"{type=Point, coordinates=[37.576635, 55.761202]}";
"174";"46812735";"Точка доступа №174";"Центральный административный округ";"Пресненский район";"Государственное автономное учреждение города Москвы «Московский государственный зоологический парк»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.575225";"55.763062";"{type=Point, coordinates=[37.575225, 55.763062]}";
"227";"46812814";"Точка доступа №227";"Северо-Восточный административный округ";"район Лианозово";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.568515";"55.900666";"{type=Point, coordinates=[37.568515, 55.900666]}";
"228";"46812815";"Точка доступа №228";"Северо-Восточный административный округ";"район Лианозово";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.568638";"55.900448";"{type=Point, coordinates=[37.568638, 55.900448]}";
"229";"46812817";"Точка доступа №229";"Северо-Восточный административный округ";"район Лианозово";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.569168";"55.900097";"{type=Point, coordinates=[37.569168, 55.900097]}";
"230";"46812818";"Точка доступа №230";"Северо-Восточный административный округ";"район Лианозово";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.568598";"55.900038";"{type=Point, coordinates=[37.568598, 55.900038]}";
"231";"46812819";"Точка доступа №231";"Северо-Восточный административный округ";"район Лианозово";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.569503";"55.900071";"{type=Point, coordinates=[37.569503, 55.900071]}";
"232";"46812821";"Точка доступа №232";"Северо-Восточный административный округ";"район Лианозово";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.570387";"55.900074";"{type=Point, coordinates=[37.570387, 55.900074]}";
"233";"46812822";"Точка доступа №233";"Северо-Восточный административный округ";"район Лианозово";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.569781";"55.900484";"{type=Point, coordinates=[37.569781, 55.900484]}";
"234";"46812824";"Точка доступа №234";"Северо-Восточный административный округ";"район Лианозово";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.569492";"55.899756";"{type=Point, coordinates=[37.569492, 55.899756]}";
"235";"46812825";"Точка доступа №235";"Северо-Восточный административный округ";"район Лианозово";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.569636";"55.899468";"{type=Point, coordinates=[37.569636, 55.899468]}";
"236";"46812826";"Точка доступа №236";"Северо-Восточный административный округ";"район Лианозово";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"Moscow_WiFi_Free";"20";"действует";"открытая сеть";"";"37.569497";"55.899289";"{type=Point, coordinates=[37.569497, 55.899289]}";
